Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests,Segment,PCA1,PCA2
45-54,Female,Suburban,Spanish,High School,3297,363,Desktop Only,2.7,6.4,0.138,0.096,38,0-20k,['Gardening'],0,1.6019958648328452,-0.6398560838318088
25-34,Male,Urban,English,Bachelor,5396,243,Mobile Only,3.8,2.8,0.063,0.001,168,20k-40k,"['Music Production', 'Gaming']",3,-0.9521525588437674,1.2447679645404797
65+,Female,Urban,Mandarin,Technical,7304,10,Mobile Only,1.9,1.0,0.099,0.099,87,60k-80k,['Digital Marketing'],4,1.254462497480334,1.1115524024794714
65+,Male,Urban,Hindi,High School,5830,176,Desktop Only,2.0,5.7,0.107,0.068,13,20k-40k,"['DIY Crafts', 'Gardening']",3,-1.875231221720376,1.7627819607160649
25-34,Male,Suburban,Spanish,High School,226,361,Tablet,1.4,7.8,0.22,0.064,162,80k-100k,['Fitness and Wellness'],0,-1.4171518414766093,-1.7573163794410909
35-44,Male,Urban,Hindi,Bachelor,5702,227,Tablet,3.0,5.2,0.24,0.002,81,60k-80k,"['Fashion Modelling', 'Eco-Friendly Living', 'DIY Crafts']",3,-1.8624652477242978,0.907606255475296
25-34,Male,Urban,Hindi,Master,1291,282,Desktop Only,1.9,1.8,0.223,0.086,167,40k-60k,"['Music Production', 'Eco-Friendly Living', 'Reading and Literature']",3,-1.0789589623945448,1.9754959420241518
25-34,Female,Urban,Spanish,High School,2739,377,Desktop Only,0.9,3.2,0.18,0.015,145,60k-80k,['Digital Marketing'],0,1.0623866956412562,1.4675821812618817
18-24,Female,Rural,Mandarin,Technical,1466,260,Mobile + Desktop,3.6,7.1,0.146,0.084,178,100k+,"['Gardening', 'Software Engineering']",2,1.1726604847530122,-0.7367019786735328
45-54,Male,Urban,Spanish,High School,9311,356,Mobile Only,3.7,2.6,0.172,0.002,13,40k-60k,"['Photography', 'Software Engineering']",3,-1.6973736425933947,2.2515137108477283
35-44,Female,Rural,Hindi,Technical,6553,353,Mobile + Desktop,2.1,5.3,0.235,0.065,40,0-20k,"['Gardening', 'Software Engineering', 'Data Science', 'Fashion Modelling']",2,0.8674680907181539,-0.05375227635062997
18-24,Male,Rural,Spanish,PhD,6771,428,Desktop Only,0.8,3.8,0.062,0.043,121,0-20k,"['Fitness and Wellness', 'Reading and Literature', 'Travel and Adventure']",3,-1.5565273640634119,-0.47115897350778196
25-34,Male,Urban,Hindi,PhD,6783,183,Mobile + Desktop,2.4,2.5,0.134,0.02,7,0-20k,['Pet Care'],1,-1.1921336618759495,2.1807755720664406
55-64,Female,Rural,Hindi,Technical,4639,179,Desktop Only,2.5,6.7,0.172,0.011,23,40k-60k,['Gaming'],4,1.3027476392172501,1.1076643564666835
25-34,Female,Urban,Spanish,Master,8976,255,Mobile + Desktop,3.5,6.2,0.17,0.044,160,20k-40k,['Gourmet Cooking'],2,1.3022446368106408,2.276685244204628
18-24,Male,Suburban,English,High School,2987,432,Mobile + Desktop,1.9,5.6,0.063,0.012,27,40k-60k,"['Music Production', 'Data Science', 'Reading and Literature']",1,-1.4048546954471874,-1.27969516853077
35-44,Male,Suburban,Spanish,High School,9754,99,Tablet,3.6,2.7,0.147,0.049,108,20k-40k,['Digital Marketing'],3,-1.9027304187867518,-1.6122361490629706
65+,Female,Suburban,English,PhD,4186,58,Desktop Only,4.4,1.7,0.199,0.063,139,100k+,"['Gourmet Cooking', 'Digital Marketing', 'Fitness and Wellness', 'Music Production']",0,1.126778707969228,-0.3706329275823996
25-34,Female,Suburban,Hindi,Technical,2361,455,Mobile + Desktop,1.6,5.0,0.119,0.083,109,100k+,"['Reading and Literature', 'Pet Care']",2,2.100288503340106,0.16225169649861904
45-54,Female,Rural,Hindi,High School,4280,303,Mobile Only,4.9,4.9,0.198,0.068,146,100k+,"['Pet Care', 'Gardening', 'Gaming', 'DIY Crafts']",4,1.8044534297993609,-0.05489575347995365
45-54,Female,Urban,English,High School,2941,416,Mobile + Desktop,2.2,2.3,0.09,0.007,50,80k-100k,"['Gourmet Cooking', 'Eco-Friendly Living', 'Data Science', 'Gaming']",4,1.206198512882643,1.1093761802170534
25-34,Female,Urban,Hindi,Master,6140,159,Mobile + Desktop,1.7,1.4,0.235,0.031,147,60k-80k,"['Eco-Friendly Living', 'Digital Marketing']",2,1.4543442837148093,2.0100002997296045
45-54,Male,Urban,English,Bachelor,3660,141,Mobile Only,2.4,1.6,0.133,0.029,19,20k-40k,['Software Engineering'],3,-1.4360027658848902,1.1096406312842861
25-34,Male,Suburban,English,PhD,4858,442,Desktop Only,0.9,7.9,0.149,0.092,55,100k+,"['Reading and Literature', 'Software Engineering', 'Gaming']",3,-1.0063054723096287,-0.9089495011433586
45-54,Male,Suburban,Hindi,PhD,726,68,Tablet,1.1,6.5,0.008,0.087,114,40k-60k,"['Pet Care', 'Software Engineering']",3,-1.3117039726870585,-0.9717521238794398
45-54,Female,Urban,Mandarin,Bachelor,5114,466,Tablet,2.4,7.5,0.043,0.037,12,100k+,['Gourmet Cooking'],4,1.4154673068972181,1.0738456922007373
35-44,Female,Suburban,English,High School,1475,333,Tablet,3.9,2.4,0.158,0.007,73,80k-100k,"['Digital Marketing', 'Fitness and Wellness', 'Fashion Modelling', 'Music Production']",0,0.8536812750285802,-2.9351069146313855
18-24,Female,Urban,Spanish,Master,1281,208,Mobile Only,4.6,7.7,0.105,0.089,67,60k-80k,"['Digital Marketing', 'Music Production', 'Gaming']",4,1.9097782188469483,0.652666591308916
55-64,Female,Urban,Spanish,Master,5808,224,Mobile + Desktop,3.5,2.0,0.127,0.089,72,40k-60k,"['Data Science', 'DIY Crafts', 'Reading and Literature']",0,1.2349761909400694,2.032313850594156
25-34,Female,Urban,Hindi,PhD,590,395,Desktop Only,1.0,4.6,0.016,0.085,148,20k-40k,['Fashion Modelling'],2,1.3848590531330311,1.559211768370354
25-34,Female,Urban,Mandarin,Master,3829,58,Mobile + Desktop,3.5,6.8,0.209,0.085,156,20k-40k,['DIY Crafts'],2,1.2027461369201269,1.1405092114489548
18-24,Male,Urban,Hindi,Bachelor,6074,481,Tablet,3.4,3.4,0.196,0.048,10,80k-100k,['Investing and Finance'],3,-1.236796211186538,0.7396262755842744
35-44,Female,Urban,Mandarin,High School,3634,241,Mobile + Desktop,4.1,4.0,0.046,0.018,123,80k-100k,"['Gourmet Cooking', 'Travel and Adventure', 'Gardening', 'Gaming']",4,1.1923607604744024,0.03833014084362539
45-54,Female,Urban,English,Bachelor,3396,256,Mobile Only,4.2,1.9,0.159,0.048,61,0-20k,"['Fashion Modelling', 'Fitness and Wellness', 'Investing and Finance', 'Data Science']",4,1.5813962318791233,1.1677281075203882
18-24,Male,Suburban,English,Technical,2040,391,Mobile Only,4.4,1.9,0.205,0.049,35,20k-40k,"['Reading and Literature', 'Gourmet Cooking']",3,-0.8222631577287498,-1.36036206722036
35-44,Female,Urban,English,PhD,5114,488,Desktop Only,2.4,5.3,0.16,0.049,10,40k-60k,"['Travel and Adventure', 'Fitness and Wellness', 'Photography', 'Digital Marketing']",4,1.1092255239171214,1.6733626864778337
25-34,Male,Urban,English,Master,1982,248,Desktop Only,3.6,5.7,0.078,0.054,161,20k-40k,['Software Engineering'],3,-1.412952024717608,0.9089389174584342
45-54,Female,Suburban,Spanish,Technical,5008,424,Tablet,1.7,6.4,0.164,0.026,71,20k-40k,"['Pet Care', 'Software Engineering', 'Music Production']",2,1.0958885471633961,-0.6381950354572947
25-34,Male,Suburban,Spanish,Master,3087,376,Desktop Only,5.0,4.9,0.053,0.037,135,80k-100k,['Gaming'],0,-0.7805842145178129,-0.6628613094469903
45-54,Female,Suburban,Hindi,High School,5685,177,Mobile + Desktop,1.3,5.5,0.08,0.043,160,0-20k,"['Music Production', 'Gaming']",2,1.6100873923124592,-0.38282042373583197
25-34,Female,Urban,Mandarin,High School,3259,57,Mobile Only,0.5,1.1,0.06,0.013,78,80k-100k,"['Photography', 'Fashion Modelling']",0,1.258838090964623,0.16989743095363924
55-64,Male,Rural,English,High School,4630,60,Mobile Only,1.2,2.1,0.139,0.046,118,0-20k,"['Fashion Modelling', 'Software Engineering']",3,-1.767957138324605,-1.598205188607651
18-24,Male,Rural,English,Master,781,308,Mobile Only,4.0,7.9,0.027,0.081,101,40k-60k,"['Gardening', 'Software Engineering', 'Gaming']",3,-0.9946615397780858,-1.202275522011151
25-34,Female,Suburban,Mandarin,Technical,5354,107,Desktop Only,2.5,1.5,0.233,0.083,84,20k-40k,['Pet Care'],2,1.5688457868484447,-0.200688902870329
18-24,Female,Rural,Mandarin,High School,1173,448,Mobile Only,2.5,5.8,0.083,0.041,127,0-20k,"['Pet Care', 'DIY Crafts', 'Digital Marketing']",4,1.370149032041706,-1.9304516764836264
55-64,Male,Suburban,Hindi,Technical,2487,225,Mobile Only,4.8,2.2,0.055,0.052,142,0-20k,['Reading and Literature'],3,-0.42299393423082243,-1.0662514148658409
55-64,Female,Urban,Mandarin,Master,2793,186,Mobile Only,4.6,6.0,0.124,0.003,37,80k-100k,"['Investing and Finance', 'Gaming', 'Music Production', 'Data Science']",4,1.7960429883133764,0.13555017348408047
25-34,Female,Rural,English,Technical,9662,389,Tablet,1.9,5.9,0.069,0.067,144,60k-80k,"['Gardening', 'Gaming', 'Pet Care']",2,1.6071244555365376,-0.5942379776081173
45-54,Female,Urban,English,Master,4440,483,Tablet,1.4,2.6,0.134,0.04,48,0-20k,"['Travel and Adventure', 'Investing and Finance', 'Gourmet Cooking', 'Digital Marketing']",4,1.4044591573458418,0.3714571285493117
55-64,Male,Rural,English,Master,2256,89,Desktop Only,4.3,2.9,0.087,0.045,17,80k-100k,['Software Engineering'],3,-1.6223608166161987,-1.2572714730645393
35-44,Female,Urban,English,PhD,8066,194,Mobile Only,4.6,5.6,0.033,0.087,156,60k-80k,"['Reading and Literature', 'Music Production', 'Fashion Modelling', 'Investing and Finance']",4,1.4051793894328826,-0.17147618110337542
35-44,Female,Rural,English,Master,2680,376,Desktop Only,2.9,3.7,0.066,0.046,176,100k+,"['Digital Marketing', 'Software Engineering', 'Gardening']",4,1.1304472796640792,-1.1239718576628261
25-34,Female,Urban,Hindi,Master,7357,470,Mobile Only,3.3,2.4,0.11,0.002,61,100k+,"['Pet Care', 'Fitness and Wellness']",2,2.1359152885268524,2.4373975955000633
18-24,Female,Urban,English,Bachelor,2259,408,Mobile Only,1.7,6.1,0.008,0.023,100,60k-80k,"['Eco-Friendly Living', 'Photography', 'Gourmet Cooking', 'Software Engineering']",4,1.5558382559632644,0.8131016815693761
55-64,Male,Rural,Hindi,High School,6872,36,Mobile Only,4.1,2.1,0.193,0.048,148,20k-40k,['DIY Crafts'],3,-1.576095769994544,-0.3830491635124373
55-64,Female,Urban,English,PhD,1727,461,Desktop Only,3.3,7.0,0.155,0.042,113,100k+,"['Pet Care', 'Music Production', 'Gardening', 'Digital Marketing']",2,1.8231291257248254,1.0026418390367746
45-54,Female,Urban,Spanish,PhD,8319,473,Desktop Only,2.8,4.6,0.15,0.086,124,100k+,"['Fitness and Wellness', 'Music Production', 'Gourmet Cooking', 'Gaming']",0,1.488376631129263,3.0138744440462006
25-34,Male,Urban,Spanish,PhD,7180,457,Mobile Only,0.8,1.7,0.137,0.054,104,20k-40k,"['Pet Care', 'Fitness and Wellness']",3,-1.1380821323588057,2.2013230569624334
25-34,Female,Rural,Spanish,Bachelor,2085,487,Mobile + Desktop,4.6,5.9,0.148,0.069,153,0-20k,"['Investing and Finance', 'Pet Care', 'Data Science']",2,1.363723983319491,0.21251002394099683
45-54,Female,Rural,Spanish,Master,9813,423,Desktop Only,3.3,4.6,0.234,0.047,115,60k-80k,['Digital Marketing'],4,1.213672411440547,0.3454665629090307
55-64,Female,Urban,Hindi,High School,8588,429,Tablet,1.4,3.1,0.002,0.044,55,60k-80k,"['Eco-Friendly Living', 'Gourmet Cooking', 'Gardening']",2,1.3763424444086811,1.105276052656903
55-64,Female,Urban,Hindi,Technical,2281,204,Desktop Only,3.2,4.0,0.012,0.045,25,40k-60k,"['Fashion Modelling', 'Fitness and Wellness', 'Data Science']",2,1.3754010360173863,2.7116122754804013
45-54,Female,Rural,Mandarin,Master,2396,223,Mobile Only,3.5,3.1,0.048,0.041,64,0-20k,"['Reading and Literature', 'Fitness and Wellness', 'Digital Marketing', 'Pet Care']",4,1.7259320001158414,-1.4769445331270172
45-54,Female,Rural,English,Bachelor,7264,378,Mobile + Desktop,2.9,2.8,0.042,0.054,25,80k-100k,"['Music Production', 'Gardening']",4,1.341757090187022,-0.3639990120653389
18-24,Male,Urban,Spanish,Master,2697,351,Mobile Only,3.7,2.1,0.045,0.025,111,80k-100k,"['Fashion Modelling', 'Gardening', 'Music Production', 'Data Science']",0,-0.9141068353883631,0.34957993566872464
25-34,Male,Urban,Hindi,Master,1001,123,Tablet,3.1,3.5,0.168,0.089,130,40k-60k,"['Investing and Finance', 'Music Production']",3,-1.3071097869902577,1.3739319146379907
55-64,Female,Urban,English,Bachelor,6160,251,Desktop Only,4.8,2.8,0.115,0.033,138,20k-40k,"['Reading and Literature', 'Software Engineering', 'Fitness and Wellness', 'Digital Marketing']",2,1.1724721596205065,0.855918890290092
45-54,Male,Suburban,English,PhD,9390,133,Desktop Only,0.7,5.8,0.248,0.015,77,80k-100k,"['Music Production', 'Gardening']",3,-1.120048876325752,-0.9481747090327812
18-24,Male,Rural,Hindi,PhD,1777,314,Mobile Only,1.0,5.8,0.057,0.01,80,60k-80k,"['Music Production', 'Gardening', 'Fashion Modelling']",3,-1.2158482636674854,-0.9724728593395804
18-24,Male,Suburban,Spanish,High School,2981,85,Mobile Only,1.3,4.5,0.078,0.001,82,100k+,"['DIY Crafts', 'Gardening', 'Photography']",3,-1.1226138631810791,-0.791656329487364
45-54,Female,Rural,Mandarin,High School,5722,320,Tablet,3.6,6.4,0.246,0.042,138,80k-100k,"['Gaming', 'Photography']",4,0.9786324860278577,-1.819257619202403
18-24,Female,Rural,English,PhD,8152,478,Mobile + Desktop,3.4,6.9,0.208,0.019,69,0-20k,['Music Production'],2,1.0979290540340108,-0.6821496892088765
25-34,Female,Rural,Mandarin,Technical,1478,321,Tablet,4.5,5.1,0.117,0.002,90,20k-40k,['Reading and Literature'],2,0.9063004507004316,-1.659539552392201
35-44,Male,Rural,Spanish,Master,1348,205,Mobile + Desktop,3.8,5.3,0.139,0.052,38,80k-100k,['Digital Marketing'],1,-1.7577612705512722,-0.9691662779633656
45-54,Male,Rural,Spanish,Technical,5750,360,Desktop Only,2.8,3.0,0.211,0.068,60,40k-60k,"['Gourmet Cooking', 'Photography', 'Eco-Friendly Living']",3,-1.6753641950547133,1.8530973396367016
45-54,Male,Rural,Mandarin,Master,6179,53,Mobile + Desktop,5.0,7.3,0.12,0.009,79,0-20k,"['Reading and Literature', 'Gourmet Cooking', 'Investing and Finance', 'Fitness and Wellness']",1,-1.5735225978405547,-0.6186771403604103
25-34,Male,Rural,Spanish,PhD,9556,424,Mobile + Desktop,1.7,1.2,0.052,0.046,7,100k+,['Software Engineering'],1,-1.9481015670935085,0.9296969568851944
45-54,Male,Suburban,English,High School,7136,195,Desktop Only,4.2,3.4,0.207,0.074,174,0-20k,"['Digital Marketing', 'DIY Crafts']",3,-1.2784637123986933,-1.097096643566277
25-34,Female,Urban,Mandarin,High School,6587,352,Desktop Only,2.4,6.1,0.134,0.099,10,0-20k,"['Fitness and Wellness', 'Gaming', 'Digital Marketing', 'Pet Care']",2,1.5772742995635916,1.2874451952706716
25-34,Female,Urban,Spanish,Technical,1158,255,Desktop Only,3.4,1.6,0.038,0.067,10,0-20k,"['Photography', 'Software Engineering']",0,1.1624772909660044,2.1652971064696467
45-54,Female,Suburban,Mandarin,High School,2148,446,Tablet,3.8,2.3,0.126,0.024,152,80k-100k,"['Fitness and Wellness', 'Data Science', 'Eco-Friendly Living']",4,1.205374256742155,-2.220316692312753
45-54,Female,Suburban,English,PhD,6215,93,Desktop Only,3.4,5.1,0.103,0.072,153,60k-80k,"['Fashion Modelling', 'Data Science']",4,1.473430647580793,-1.0144659378710237
55-64,Male,Suburban,Spanish,Technical,4348,216,Mobile Only,1.1,4.9,0.219,0.06,6,60k-80k,['Investing and Finance'],3,-0.9688088768995778,-0.12595364421578356
45-54,Male,Suburban,English,Master,2576,160,Desktop Only,2.5,6.2,0.032,0.021,94,60k-80k,"['Photography', 'Music Production', 'Gardening', 'Digital Marketing']",3,-0.8361897998864499,-1.0321161207066236
35-44,Female,Rural,Spanish,High School,4703,165,Desktop Only,3.0,6.7,0.219,0.085,60,0-20k,"['Gardening', 'DIY Crafts', 'Fashion Modelling', 'Pet Care']",0,0.7515583569976403,-0.7105109501637201
18-24,Male,Urban,Hindi,Bachelor,3653,25,Desktop Only,4.3,1.9,0.128,0.043,100,80k-100k,['Software Engineering'],3,-1.3713045186011472,1.081504073048806
25-34,Female,Rural,Spanish,High School,320,174,Mobile + Desktop,2.5,1.1,0.101,0.096,14,0-20k,['Gaming'],0,0.9482504831408715,-0.0912184135374451
25-34,Female,Urban,Mandarin,Master,4918,414,Tablet,4.6,5.8,0.04,0.072,91,40k-60k,"['Travel and Adventure', 'Eco-Friendly Living', 'Data Science']",4,1.4247773529292145,0.6564082124965043
25-34,Female,Urban,Spanish,Technical,7292,472,Desktop Only,2.5,3.1,0.175,0.064,74,60k-80k,"['Software Engineering', 'Data Science', 'Travel and Adventure']",0,1.1542693542542564,2.302983422612779
65+,Male,Suburban,English,Master,4723,154,Tablet,3.0,5.4,0.232,0.073,155,100k+,['Gaming'],3,-1.26348170877313,-1.454165511296997
25-34,Female,Rural,English,Bachelor,7449,46,Mobile Only,4.1,2.1,0.094,0.048,117,0-20k,"['Gardening', 'Investing and Finance', 'Fitness and Wellness']",4,1.6137520333488053,-0.3858937203048422
55-64,Female,Suburban,Spanish,PhD,5718,342,Mobile Only,3.1,4.3,0.06,0.051,34,60k-80k,"['Data Science', 'Fitness and Wellness', 'Eco-Friendly Living']",0,1.7113221576913455,-0.33771504812375724
45-54,Female,Rural,Mandarin,High School,9956,412,Desktop Only,4.8,4.5,0.139,0.085,132,80k-100k,"['Software Engineering', 'Data Science', 'Fashion Modelling', 'Travel and Adventure']",4,0.7784243485680815,-1.392509007931287
45-54,Female,Urban,Hindi,Technical,7309,423,Mobile Only,3.5,5.1,0.199,0.068,82,0-20k,"['Travel and Adventure', 'Music Production', 'Fashion Modelling', 'Gourmet Cooking']",4,1.8860707430273291,1.914071453325034
35-44,Male,Suburban,Mandarin,PhD,4676,54,Tablet,2.9,4.6,0.001,0.09,169,0-20k,['Reading and Literature'],3,-1.369086141818198,-3.002671248446906
35-44,Male,Suburban,Hindi,Master,1971,411,Mobile + Desktop,0.6,4.5,0.158,0.089,59,40k-60k,"['Pet Care', 'Fitness and Wellness', 'Investing and Finance']",1,-1.0935220878376122,0.4064685708317609
35-44,Male,Urban,English,Technical,8015,215,Desktop Only,2.4,3.3,0.149,0.098,53,40k-60k,"['Gourmet Cooking', 'Music Production', 'Data Science', 'Fashion Modelling']",3,-1.6212383655173142,2.176780887705188
25-34,Female,Urban,Mandarin,PhD,1562,71,Mobile Only,1.8,1.5,0.08,0.07,38,0-20k,"['Digital Marketing', 'Eco-Friendly Living', 'Gardening']",2,1.688778458864107,0.37993401405718324
45-54,Female,Urban,Hindi,Technical,5621,429,Tablet,3.9,1.6,0.113,0.05,109,0-20k,['Gardening'],2,1.6644501788847201,1.3739178783896104
25-34,Female,Suburban,Spanish,Bachelor,8636,365,Tablet,1.4,4.0,0.062,0.017,176,40k-60k,"['Fitness and Wellness', 'Gardening']",0,1.479111959225905,0.051017840942366915
18-24,Female,Rural,English,Bachelor,8336,477,Mobile Only,1.4,3.5,0.197,0.071,26,0-20k,"['Gaming', 'Reading and Literature', 'Travel and Adventure', 'Software Engineering']",4,1.5479781287249408,-1.3877235931021692
45-54,Male,Suburban,Spanish,High School,7913,317,Tablet,1.4,4.6,0.159,0.029,35,60k-80k,"['Investing and Finance', 'Data Science', 'Software Engineering']",3,-1.937236832424548,-1.1055231466522533
25-34,Male,Rural,English,High School,2168,28,Tablet,1.1,3.1,0.133,0.028,139,20k-40k,"['Gourmet Cooking', 'Pet Care', 'Eco-Friendly Living']",3,-1.958909217802065,-1.3209770876301075
55-64,Male,Suburban,Mandarin,Bachelor,5853,374,Desktop Only,1.9,5.8,0.098,0.024,109,60k-80k,"['Fitness and Wellness', 'Photography', 'Investing and Finance', 'Software Engineering']",3,-1.3461040824231072,-0.40101244974693184
65+,Male,Suburban,Mandarin,Technical,7337,309,Tablet,4.5,7.0,0.073,0.088,153,80k-100k,"['Music Production', 'Software Engineering']",3,-1.6899615923019564,-2.072726896124899
55-64,Male,Urban,English,Bachelor,7116,16,Mobile Only,4.0,3.1,0.206,0.087,20,40k-60k,"['Photography', 'Fitness and Wellness', 'Pet Care']",3,-0.8477229454645618,2.178690510293416
25-34,Male,Rural,English,High School,6291,258,Desktop Only,3.8,2.4,0.113,0.063,24,40k-60k,"['Fitness and Wellness', 'DIY Crafts', 'Music Production']",3,-1.9705493982185385,0.5174394556918838
18-24,Female,Suburban,English,Bachelor,1614,437,Mobile Only,4.1,1.8,0.125,0.047,47,80k-100k,['DIY Crafts'],0,1.8947857359729054,-1.7270804707036187
55-64,Female,Suburban,Mandarin,Bachelor,2698,126,Mobile + Desktop,1.7,5.3,0.13,0.067,176,0-20k,['Photography'],2,1.6957514264593556,-0.9566871246651651
35-44,Male,Urban,Hindi,Technical,1101,77,Mobile Only,4.5,4.1,0.112,0.061,51,100k+,"['DIY Crafts', 'Gourmet Cooking', 'Music Production']",3,-1.1611918717575815,1.9008342648289052
65+,Female,Urban,Spanish,PhD,1133,43,Mobile Only,1.1,2.3,0.064,0.042,118,40k-60k,"['Gourmet Cooking', 'Digital Marketing', 'Music Production', 'DIY Crafts']",0,0.7665951718434175,1.7938676640123847
65+,Male,Rural,Spanish,High School,6999,203,Desktop Only,2.0,5.6,0.03,0.038,23,20k-40k,"['Digital Marketing', 'Photography', 'Gardening', 'DIY Crafts']",3,-2.3404979069404868,0.07768838087355147
55-64,Male,Suburban,Mandarin,Technical,8565,334,Tablet,3.1,2.0,0.025,0.038,52,80k-100k,"['Digital Marketing', 'Data Science', 'Eco-Friendly Living']",3,-1.169573675525787,-1.7299402662923957
25-34,Female,Rural,Spanish,Bachelor,5151,64,Mobile Only,1.0,4.9,0.189,0.059,143,20k-40k,['Gourmet Cooking'],0,1.2553589429682785,0.20746502231579214
25-34,Female,Suburban,English,Bachelor,4576,275,Desktop Only,3.8,4.7,0.056,0.065,161,0-20k,"['Gaming', 'Fitness and Wellness', 'Digital Marketing', 'Music Production']",2,1.929422305495687,-0.5866422152135118
55-64,Female,Rural,Hindi,PhD,578,489,Mobile + Desktop,2.2,6.1,0.014,0.045,49,100k+,['Investing and Finance'],2,1.2865588187801942,0.2411980583746656
25-34,Male,Urban,Spanish,High School,615,51,Desktop Only,4.0,1.4,0.199,0.097,168,20k-40k,"['Photography', 'Software Engineering', 'DIY Crafts', 'Pet Care']",3,-1.915619096414281,1.6327357115289083
25-34,Male,Suburban,Hindi,High School,1291,306,Desktop Only,2.7,7.2,0.039,0.008,91,100k+,"['Music Production', 'Gaming']",3,-0.9500159896352127,-0.19738217023278495
35-44,Male,Rural,English,Master,6397,470,Tablet,1.3,5.9,0.156,0.035,19,60k-80k,"['Gaming', 'Fashion Modelling', 'Gardening']",3,-1.6118210136493007,-1.6295848393172436
55-64,Male,Urban,Spanish,High School,9703,240,Mobile Only,3.8,2.5,0.085,0.042,114,20k-40k,"['Music Production', 'Fashion Modelling']",3,-1.493541358139747,1.2642443852645642
45-54,Male,Urban,Mandarin,PhD,371,462,Mobile + Desktop,1.6,2.3,0.032,0.002,176,40k-60k,"['Digital Marketing', 'Gaming', 'Reading and Literature', 'Fashion Modelling']",1,-1.5030389856914481,0.8866666564021052
35-44,Female,Rural,Hindi,Master,8434,387,Desktop Only,2.7,4.0,0.104,0.036,100,40k-60k,"['DIY Crafts', 'Photography']",4,1.0300920154743365,0.8382009839997391
18-24,Male,Suburban,English,Master,7878,403,Mobile Only,0.8,6.7,0.004,0.027,172,20k-40k,"['Data Science', 'Software Engineering']",3,-0.9209324498563514,-1.6112772985951656
45-54,Female,Suburban,Hindi,Bachelor,6108,19,Mobile Only,3.3,6.9,0.21,0.051,106,100k+,"['Fitness and Wellness', 'Gaming', 'Investing and Finance', 'Travel and Adventure']",4,2.1579465904577466,0.18829085568890744
65+,Female,Urban,Spanish,Bachelor,8087,367,Desktop Only,3.5,4.6,0.128,0.034,90,20k-40k,['Data Science'],0,0.8626365279196064,2.230280658456432
18-24,Female,Suburban,Spanish,High School,3432,484,Mobile Only,2.2,7.0,0.035,0.073,146,60k-80k,"['Travel and Adventure', 'Fashion Modelling']",4,1.6934954559726638,-1.6875825452681905
35-44,Male,Suburban,Mandarin,Master,887,453,Desktop Only,4.8,1.0,0.059,0.051,85,60k-80k,['Photography'],3,-1.1454814979048025,-1.2251076583131553
55-64,Female,Suburban,English,Bachelor,6322,137,Desktop Only,4.4,1.2,0.112,0.013,55,80k-100k,['Pet Care'],0,1.802047997698675,-0.9558169191899639
45-54,Female,Urban,English,PhD,9973,188,Desktop Only,3.7,7.4,0.047,0.075,116,0-20k,['Pet Care'],2,1.683577828397439,1.3354571171173055
45-54,Female,Rural,Mandarin,Bachelor,722,414,Mobile + Desktop,3.7,6.4,0.067,0.01,19,60k-80k,"['Pet Care', 'Gaming']",4,1.3380168949482825,-0.2858095079375891
45-54,Male,Suburban,Mandarin,Bachelor,3941,401,Desktop Only,1.6,4.2,0.134,0.084,69,60k-80k,"['Fashion Modelling', 'DIY Crafts', 'Digital Marketing']",3,-1.2581904832090132,-0.7620843765882704
25-34,Female,Urban,English,Master,3776,202,Tablet,3.5,6.3,0.208,0.093,92,60k-80k,"['Fashion Modelling', 'Investing and Finance', 'Eco-Friendly Living']",2,1.2642754188983047,0.22956824324622405
25-34,Male,Urban,Hindi,Master,2672,101,Mobile Only,1.4,7.7,0.1,0.032,80,100k+,"['Fitness and Wellness', 'Data Science']",3,-0.7033394753732125,1.9129156275177173
55-64,Female,Rural,Hindi,Technical,7015,378,Mobile + Desktop,1.1,6.4,0.179,0.093,14,40k-60k,"['Eco-Friendly Living', 'Fashion Modelling']",2,1.1437042904165333,1.2306177503564422
55-64,Male,Suburban,Mandarin,PhD,5133,240,Mobile Only,5.0,6.9,0.219,0.079,46,40k-60k,"['Investing and Finance', 'Digital Marketing']",3,-0.925339135109308,-1.095863368173182
55-64,Female,Suburban,Hindi,Master,7888,87,Mobile + Desktop,3.3,6.3,0.054,0.092,99,0-20k,"['Travel and Adventure', 'Data Science']",2,2.0069442069436643,-0.539968374092804
55-64,Female,Rural,English,High School,5314,94,Tablet,2.4,2.2,0.202,0.067,15,20k-40k,"['Gardening', 'Travel and Adventure', 'Gaming', 'Investing and Finance']",4,0.8516948756164445,-1.618816123180545
35-44,Male,Rural,Spanish,PhD,4812,39,Mobile + Desktop,1.8,6.8,0.189,0.024,122,60k-80k,"['DIY Crafts', 'Music Production', 'Travel and Adventure']",1,-2.258126328557881,-0.34246508846579937
35-44,Male,Urban,Spanish,PhD,166,222,Mobile + Desktop,3.2,2.4,0.089,0.089,148,60k-80k,['Investing and Finance'],1,-1.762617808016581,1.2799545894113327
45-54,Male,Urban,Hindi,Master,7633,58,Mobile + Desktop,0.7,7.2,0.247,0.018,129,20k-40k,"['Eco-Friendly Living', 'Fitness and Wellness', 'Investing and Finance']",1,-1.477059095180299,2.5284466532067063
